X,CH1,Start,Increment,
Sequence,Volt,-1.38E-05,2.00E-08,
896,2.14E-02,,0.00001792,2.14E-02
897,3.06E-03,,0.00001794,3.06E-03
898,2.60E-02,,0.00001796,2.60E-02
899,4.59E-03,,0.00001798,4.59E-03
900,2.14E-02,,0.000018,2.14E-02
901,4.59E-03,,0.00001802,4.59E-03
902,2.14E-02,,0.00001804,2.14E-02
903,0.00E+00,,0.00001806,0.00E+00
904,1.84E-02,,0.00001808,1.84E-02
905,-3.06E-03,,0.0000181,-3.06E-03
906,1.84E-02,,0.00001812,1.84E-02
907,6.13E-03,,0.00001814,6.13E-03
908,1.84E-02,,0.00001816,1.84E-02
909,0.00E+00,,0.00001818,0.00E+00
910,2.60E-02,,0.0000182,2.60E-02
911,3.06E-03,,0.00001822,3.06E-03
912,2.30E-02,,0.00001824,2.30E-02
913,1.53E-03,,0.00001826,1.53E-03
914,2.14E-02,,0.00001828,2.14E-02
915,6.13E-03,,0.0000183,6.13E-03
916,2.60E-02,,0.00001832,2.60E-02
917,6.13E-03,,0.00001834,6.13E-03
918,2.30E-02,,0.00001836,2.30E-02
919,4.59E-03,,0.00001838,4.59E-03
920,2.14E-02,,0.0000184,2.14E-02
921,3.06E-03,,0.00001842,3.06E-03
922,1.99E-02,,0.00001844,1.99E-02
923,6.13E-03,,0.00001846,6.13E-03
924,1.99E-02,,0.00001848,1.99E-02
925,-3.06E-03,,0.0000185,-3.06E-03
926,2.30E-02,,0.00001852,2.30E-02
927,1.53E-03,,0.00001854,1.53E-03
928,1.99E-02,,0.00001856,1.99E-02
929,3.06E-03,,0.00001858,3.06E-03
930,1.84E-02,,0.0000186,1.84E-02
931,6.13E-03,,0.00001862,6.13E-03
932,2.60E-02,,0.00001864,2.60E-02
933,7.66E-03,,0.00001866,7.66E-03
934,2.30E-02,,0.00001868,2.30E-02
935,4.59E-03,,0.0000187,4.59E-03
936,1.84E-02,,0.00001872,1.84E-02
937,4.59E-03,,0.00001874,4.59E-03
938,1.68E-02,,0.00001876,1.68E-02
939,3.06E-03,,0.00001878,3.06E-03
940,2.30E-02,,0.0000188,2.30E-02
941,1.53E-03,,0.00001882,1.53E-03
942,1.99E-02,,0.00001884,1.99E-02
943,-3.06E-03,,0.00001886,-3.06E-03
