X,CH1,Start,Increment
302,,0.00000604,1.27E-01
303,,0.00000606,7.96E-02
304,,0.00000608,1.04E-01
305,,0.0000061,8.73E-02
306,,0.00000612,1.01E-01
307,,0.00000614,7.96E-02
308,,0.00000616,1.10E-01
309,,0.00000618,7.50E-02
310,,0.0000062,1.16E-01
311,,0.00000622,7.96E-02
312,,0.00000624,1.32E-01
313,,0.00000626,7.35E-02
314,,0.00000628,1.09E-01
315,,0.0000063,8.27E-02
316,,0.00000632,1.07E-01
317,,0.00000634,7.66E-02
318,,0.00000636,1.06E-01
319,,0.00000638,8.27E-02
320,,0.0000064,1.04E-01
321,,0.00000642,7.81E-02
322,,0.00000644,1.07E-01
323,,0.00000646,8.27E-02
324,,0.00000648,1.10E-01
325,,0.0000065,7.96E-02
326,,0.00000652,1.16E-01
327,,0.00000654,7.20E-02
328,,0.00000656,1.13E-01
329,,0.00000658,8.58E-02
330,,0.0000066,1.04E-01
331,,0.00000662,7.96E-02
332,,0.00000664,1.18E-01
333,,0.00000666,8.12E-02
334,,0.00000668,1.12E-01
335,,0.0000067,8.12E-02
336,,0.00000672,1.03E-01
337,,0.00000674,8.42E-02
338,,0.00000676,1.04E-01
339,,0.00000678,7.66E-02
340,,0.0000068,1.06E-01
341,,0.00000682,7.66E-02
342,,0.00000684,9.80E-02
343,,0.00000686,7.96E-02
344,,0.00000688,9.95E-02
345,,0.0000069,7.96E-02
346,,0.00000692,1.10E-01
347,,0.00000694,7.81E-02
348,,0.00000696,1.01E-01
349,,0.00000698,8.42E-02
350,,0.000007,1.16E-01
351,,0.00000702,7.35E-02
352,,0.00000704,1.04E-01
353,,0.00000706,8.12E-02
354,,0.00000708,1.18E-01
355,,0.0000071,7.81E-02
356,,0.00000712,1.01E-01
357,,0.00000714,6.58E-02
358,,0.00000716,1.12E-01
359,,0.00000718,8.58E-02
360,,0.0000072,1.12E-01
361,,0.00000722,7.96E-02
362,,0.00000724,1.09E-01
363,,0.00000726,8.27E-02
364,,0.00000728,1.15E-01
365,,0.0000073,8.73E-02
366,,0.00000732,1.10E-01
367,,0.00000734,8.88E-02
368,,0.00000736,1.09E-01
369,,0.00000738,7.96E-02
370,,0.0000074,1.06E-01
371,,0.00000742,8.42E-02
372,,0.00000744,1.10E-01
373,,0.00000746,8.12E-02
374,,0.00000748,1.07E-01
375,,0.0000075,7.04E-02
376,,0.00000752,1.06E-01
377,,0.00000754,7.96E-02
378,,0.00000756,1.01E-01
379,,0.00000758,8.42E-02
380,,0.0000076,1.07E-01
381,,0.00000762,8.73E-02
382,,0.00000764,1.01E-01
383,,0.00000766,7.96E-02
384,,0.00000768,1.10E-01
385,,0.0000077,8.73E-02
386,,0.00000772,1.19E-01
387,,0.00000774,7.81E-02
388,,0.00000776,1.10E-01
389,,0.00000778,8.42E-02
390,,0.0000078,1.13E-01
391,,0.00000782,7.66E-02
